ccaa,fecha,casos,ia,uci,muertes,nuevos,incrpercent,hospitalizados,hospitalizadosnuevos,ucinuevos,muertesnuevos,curados,curadosnuevos,postestrap,posasintomaticos,postotal,pcr,testrap
Madrid,2020-04-16,50694,278.22,1206,6877,1168,,9653,-463,-38,153,28491,1058,,,,,
Madrid,2020-04-17,51993,267.21,1154,7007,1299,,9141,-512,-52,130,29436,945,,,,,
Madrid,2020-04-18,52946,267.21,1094,7132,953,,8597,-544,-60,125,30475,1039,,,52946,52946,
Madrid,2020-04-19,54884,259.63,1123,7239,1938,,8291,-306,29,107,31313,838,1261,,56145,53670,1214
Madrid,2020-04-20,56963,252.95,1111,7351,2079,,8191,-100,-12,112,31762,449,,,56963,54300,2663
Madrid,2020-04-21,57997,263.05,1076,7460,1034,,7930,-261,-35,109,32277,515,,,57997,55325,2672
Madrid,2020-04-22,59199,251.36,1024,7577,1202,,7464,-466,-52,117,33032,755,,,59199,56245,2954
Madrid,2020-04-23,60487,249.27,981,7684,1288,,7077,-387,-43,107,33645,613,0,,60487,57094,3393
Madrid,2020-04-24,58191,201.22,949,7765,-2296,,6601,-476,-32,81,34212,567,3535,,61726,,
Madrid,2020-04-25,58819,194.65,892,7848,628,1.1,6183,-418,-57,83,34902,690,3691,0,,,
Madrid,2020-04-26,59126,188.18,873,7922,307,0.5,5892,-291,-19,74,35367,465,,,,,
Madrid,2020-04-27,59421,184.22,3309,7986,295,0.5,39472,33580,2436,64,35565,198,,,,,
Madrid,2020-04-28,59784,176.13,3338,8048,363,0.6,39634,162,29,62,35841,276,,,,,
Madrid,2020-04-29,60765,168.67,3355,8105,981,1.6,39850,216,17,57,36314,473,,,,,
Melilla,2020-03-02,0,,,,,,,,,,,,,,,,
Melilla,2020-03-03,0,0,,,0,,,,,,,,,,,,
Melilla,2020-03-04,0,0,,,0,,,,,,,,,,,,
Melilla,2020-03-05,0,0,0,0,0,,,,,,,,,,,,
Melilla,2020-03-06,0,0,0,0,0,,,,0,0,,,,,,,
Melilla,2020-03-07,0,0,,,0,,,,,,,,,,,,
Melilla,2020-03-08,0,0,,,0,,,,,,,,,,,,
Melilla,2020-03-09,0,0,0,0,0,,,,0,0,,,,,,,
Melilla,2020-03-10,0,0,0,0,0,,,,0,0,,,,,,,
Melilla,2020-03-11,0,0,0,0,0,,,,0,0,,,,,,,
Melilla,2020-03-12,0,0,0,0,0,,,,0,0,,,,,,,
Melilla,2020-03-13,2,2.31,0,0,2,,,,0,0,,,,,,,
Melilla,2020-03-14,3,4.62,0,0,1,,,,,0,,,,,,,
Melilla,2020-03-15,8,6.94,0,0,5,,,,,0,,,,,,,
Melilla,2020-03-16,8,9.25,0,0,0,,,,,0,,,,,,,
Melilla,2020-03-17,17,19.66,0,0,9,,,,0,0,,,,,,,
Melilla,2020-03-18,20,23.12,0,0,3,,,,0,0,,,,,,,
Melilla,2020-03-19,23,26.59,0,0,3,,,,0,0,,,,,,,
Melilla,2020-03-20,24,27.75,1,0,1,,,,1,0,,,,,,,
Melilla,2020-03-21,25,28.91,1,0,1,,8,,0,0,,,,,,,
Melilla,2020-03-22,25,28.91,1,0,0,,12,4,0,0,,,,,,,
Melilla,2020-03-23,28,32.37,1,0,3,,12,0,0,0,0,,,,,,
Melilla,2020-03-24,28,32.37,1,0,0,,12,0,0,0,0,0,,,,,
Melilla,2020-03-25,38,45.08,2,0,10,,14,2,1,0,0,0,,,,,
Melilla,2020-03-26,39,46.27,2,1,1,,16,2,0,1,0,0,,,,,
Melilla,2020-03-27,42,46.25,2,1,3,,18,2,0,0,0,0,,,,,
Melilla,2020-03-28,45,48.56,2,1,3,,22,4,0,0,0,0,,,,,
Melilla,2020-03-29,48,46.25,2,1,3,,24,2,0,0,0,0,,,,,
Melilla,2020-03-30,51,49.72,3,1,3,,27,3,1,0,0,0,,,,,
Melilla,2020-03-31,54,42.78,3,1,3,,27,0,0,0,0,0,,,,,
Melilla,2020-04-01,62,48.56,3,1,8,,32,5,0,0,0,0,,,,,
Melilla,2020-04-02,62,45.09,3,1,0,,32,0,0,0,0,0,,,,,
Melilla,2020-04-03,70,53.19,3,2,8,,34,2,0,1,4,4,,,,,
Melilla,2020-04-04,79,62.44,3,2,9,,37,3,0,0,9,5,,,,,
Melilla,2020-04-05,83,67.06,3,2,4,,38,1,0,0,11,2,,,,,
Melilla,2020-04-06,86,67.06,3,2,3,,38,0,0,0,11,0,,,,,
Melilla,2020-04-07,92,74,3,2,6,,40,2,0,0,11,0,,,,,
Melilla,2020-04-08,93,63.59,3,2,1,,40,0,0,0,12,1,,,,,
Melilla,2020-04-09,93,62.44,3,2,0,,40,0,0,0,16,4,,,,,
Melilla,2020-04-10,95,61.28,3,2,2,,41,1,0,0,17,1,,,,,
Melilla,2020-04-11,98,61.28,3,2,3,,43,2,0,0,18,1,,,,,
Melilla,2020-04-12,98,57.81,3,2,0,,43,0,0,0,18,0,,,,,
Melilla,2020-04-13,101,57.81,3,2,3,,43,0,0,0,18,0,,,,,
Melilla,2020-04-14,101,54.34,3,2,0,,43,0,0,0,18,0,,,,,
Melilla,2020-04-15,102,46.25,3,2,1,,43,0,0,0,24,6,,,,,
Melilla,2020-04-16,103,47.41,3,2,1,,43,0,0,0,27,3,,,,103,
Melilla,2020-04-17,104,39.31,3,2,1,,44,1,0,0,30,3,,,,,
Melilla,2020-04-18,104,39.31,3,2,0,,44,0,0,0,30,0,,,104,104,
Melilla,2020-04-19,104,24.28,3,2,0,,44,0,0,0,44,14,3,,107,104,
Melilla,2020-04-20,104,20.81,3,2,0,,44,0,0,0,46,2,5,,109,104,0
Melilla,2020-04-21,105,15.03,3,2,1,,44,0,0,0,46,0,5,,110,105,0
Melilla,2020-04-22,105,13.87,3,2,0,,44,0,0,0,50,4,6,,111,105,0
Melilla,2020-04-23,106,15.03,3,2,1,,44,0,0,0,55,5,7,,113,106,0
Melilla,2020-04-24,107,13.87,3,2,1,,44,0,0,0,61,6,9,,116,,
Melilla,2020-04-25,108,11.56,3,2,1,0.9,44,0,0,0,77,16,10,10,,,
Melilla,2020-04-26,110,13.87,3,2,2,1.9,44,0,0,0,81,4,,,,,
Melilla,2020-04-27,110,10.41,3,2,0,0,44,0,0,0,87,6,,,,,
Melilla,2020-04-28,114,15.03,3,2,4,3.6,44,0,0,0,92,5,,,,,
Melilla,2020-04-29,114,13.87,3,2,0,0,44,0,0,0,95,3,,,,,
Murcia,2020-03-02,0,,,,,,,,,,,,,,,,
Murcia,2020-03-03,0,0,,,0,,,,,,,,,,,,
Murcia,2020-03-04,0,0,,,0,,,,,,,,,,,,
Murcia,2020-03-05,0,0,0,0,0,,,,,,,,,,,,
Murcia,2020-03-06,0,0,0,0,0,,,,0,0,,,,,,,
Murcia,2020-03-07,1,0,,,1.33,,,,,,,,,,,,
Murcia,2020-03-08,3,0,,,2.67,,,,,,,,,,,,
Murcia,2020-03-09,4,0.27,0,0,4,,,,0,0,,,,,,,
Murcia,2020-03-10,9,0.6,0,0,5,,,,0,0,,,,,,,
Murcia,2020-03-11,11,0.74,0,0,2,,,,0,0,,,,,,,
Murcia,2020-03-12,26,1.74,1,0,15,,,,1,0,,,,,,,
Murcia,2020-03-13,35,2.34,1,0,9,,,,0,0,,,,,,,
Murcia,2020-03-14,47,3.28,1,0,12,,,,,0,,,,,,,
Murcia,2020-03-15,71,4.21,2,0,24,,,,,0,,,,,,,
Murcia,2020-03-16,77,5.15,2,0,6,,,,,0,,,,,,,
Murcia,2020-03-17,97,6.49,3,0,20,,,,1,0,,,,,,,
Murcia,2020-03-18,122,8.17,4,0,25,,,,1,0,,,,,,,
Murcia,2020-03-19,167,11.18,6,0,45,,,,2,0,,,,,,,
Murcia,2020-03-20,204,13.66,11,0,37,,,,5,0,,,,,,,
Murcia,2020-03-21,240,16.07,14,1,36,,61,,3,1,,,,,,,
Murcia,2020-03-22,296,19.75,16,1,56,,78,17,2,0,,,,,,,
Murcia,2020-03-23,345,22.83,23,2,49,,80,2,7,1,1,,,,,,
Murcia,2020-03-24,385,25.17,26,3,40,,99,19,3,1,1,0,,,,,
Murcia,2020-03-25,477,31.18,33,5,92,,127,28,7,2,4,3,,,,,
Murcia,2020-03-26,596,38.14,36,8,119,,172,45,3,3,9,5,,,,,
Murcia,2020-03-27,714,45.45,53,15,118,,209,37,17,7,12,3,,,,,
Murcia,2020-03-28,802,50.54,58,17,88,,231,22,5,2,12,0,,,,,
Murcia,2020-03-29,872,53.62,58,20,70,,260,29,0,3,16,4,,,,,
Murcia,2020-03-30,939,57.7,58,25,67,,265,5,0,5,17,1,,,,,
Murcia,2020-03-31,974,58.71,59,34,35,,283,18,1,9,20,3,,,,,
Murcia,2020-04-01,1041,61.52,59,37,67,,304,21,0,3,43,23,,,,,
Murcia,2020-04-02,1084,61.38,68,42,43,,389,85,9,5,45,2,,,,,
Murcia,2020-04-03,1145,62.99,72,46,61,,405,16,4,4,90,45,,,,,
Murcia,2020-04-04,1188,63.46,79,51,43,,434,29,7,5,113,23,,,,,
Murcia,2020-04-05,1235,62.86,80,59,47,,447,13,1,8,130,17,,,,,
Murcia,2020-04-06,1259,61.18,81,68,24,,468,21,1,9,156,26,,,,,
Murcia,2020-04-07,1283,60.11,84,78,24,,500,32,3,10,193,37,,,,,
Murcia,2020-04-08,1326,56.83,86,85,43,,515,15,2,7,203,10,,,,,
Murcia,2020-04-09,1356,50.87,87,88,30,,533,18,1,3,219,16,,,,,
Murcia,2020-04-10,1383,44.78,88,90,27,,533,0,1,2,255,36,,,,,
Murcia,2020-04-11,1413,40.9,88,94,30,,533,0,0,4,275,20,,,,,
Murcia,2020-04-12,1449,38.62,91,97,36,,537,4,3,3,344,69,,,,,
Murcia,2020-04-13,1463,35.08,94,101,14,,543,6,3,4,353,9,,,,,
Murcia,2020-04-14,1487,34.34,96,106,24,,566,23,2,5,476,123,,,,,
Murcia,2020-04-15,1520,32.06,97,109,33,,574,8,1,3,513,37,,,,,
Murcia,2020-04-16,1598,34.41,97,111,78,,575,1,0,2,516,3,,,,1424,174
Murcia,2020-04-17,1625,32.13,99,112,27,,585,10,2,1,545,29,,,,1423,202
Murcia,2020-04-18,1638,32.13,102,115,13,,611,26,3,3,638,93,9,,1647,1430,208
Murcia,2020-04-19,1644,27.38,102,116,6,,612,1,0,1,652,14,9,,1653,1438,206
Murcia,2020-04-20,1646,25.91,103,117,2,,612,0,1,1,662,10,13,,1659,1440,206
Murcia,2020-04-21,1681,26.64,104,120,35,,614,2,1,3,702,40,15,,1696,1445,236
Murcia,2020-04-22,1695,24.7,104,123,14,,622,8,0,3,761,59,22,,1717,1455,240
Murcia,2020-04-23,1721,24.43,104,124,26,,624,2,0,1,766,5,0,,1721,1460,261
Murcia,2020-04-24,1468,5.69,105,125,-253,,625,1,1,1,791,25,273,,1741,,
Murcia,2020-04-25,1468,3.68,105,126,0,0,625,0,0,1,842,51,288,22,,,
Murcia,2020-04-26,1474,1.67,106,127,6,0.4,627,2,1,1,920,78,,,,,
Murcia,2020-04-27,1474,0.74,106,128,0,0,627,0,0,1,990,70,,,,,
Murcia,2020-04-28,1475,10.91,106,130,1,0.1,629,2,0,2,1113,123,,,,,
Murcia,2020-04-29,1480,9.04,106,130,5,0.3,635,6,0,0,1153,40,,,,,
Navarra,2020-03-02,1,,,,,,,,,,,,,,,,
Navarra,2020-03-03,1,0.15,,,0,,,,,,,,,,,,
Navarra,2020-03-04,3,0.46,1,,2,,,,,,,,,,,,
Navarra,2020-03-05,3,0.46,1,0,0,,,,0,,,,,,,,
Navarra,2020-03-06,3,0.46,1,0,0,,,,0,0,,,,,,,
Navarra,2020-03-07,3,0,,,0,,,,,,,,,,,,
Navarra,2020-03-08,3,0,,,0,,,,,,,,,,,,
Navarra,2020-03-09,3,0.46,1,0,0,,,,0,0,,,,,,,
Navarra,2020-03-10,12,1.83,2,0,9,,,,1,0,,,,,,,
Navarra,2020-03-11,46,7.03,3,0,34,,,,1,0,,,,,,,
Navarra,2020-03-12,73,11.16,3,0,27,,,,0,0,,,,,,,
Navarra,2020-03-13,130,19.87,4,0,57,,,,1,0,,,,,,,
Navarra,2020-03-14,146,27.16,4,0,16,,,,,0,,,,,,,
Navarra,2020-03-15,183,34.44,5,0,37,,,,,0,,,,,,,
Navarra,2020-03-16,274,41.73,5,1,91,,,,,1,,,,,,,
Navarra,2020-03-17,313,47.69,10,2,39,,,,5,1,,,,,,,
Navarra,2020-03-18,386,58.54,10,3,73,,,,0,1,,,,,,,
Navarra,2020-03-19,482,73.22,11,4,96,,,,1,1,,,,,,,
Navarra,2020-03-20,554,84.22,19,5,72,,,,8,1,,,,,,,
Navarra,2020-03-21,664,101.04,25,9,110,,222,,6,4,,,,,,,
Navarra,2020-03-22,794,120.91,30,14,130,,288,66,5,5,,,,,,,
Navarra,2020-03-23,886,134.97,40,24,92,,339,51,10,10,7,,,,,,
Navarra,2020-03-24,1014,153.16,45,31,128,,405,66,5,7,11,4,,,,,
Navarra,2020-03-25,1197,176.39,51,33,183,,506,101,6,2,23,12,,,,,
Navarra,2020-03-26,1411,205.05,54,49,214,,649,143,3,16,35,12,,,,,
Navarra,2020-03-27,1641,230.96,75,58,230,,732,83,21,9,70,35,,,,,
Navarra,2020-03-28,1829,257.26,84,70,188,,827,95,9,12,98,28,,,,,
Navarra,2020-03-29,2011,279.42,90,84,182,,896,69,6,14,125,27,,,,,
Navarra,2020-03-30,2146,286.14,96,102,135,,955,59,6,18,161,36,,,,,
Navarra,2020-03-31,2305,304.49,99,113,159,,1035,80,3,11,192,31,,,,,
Navarra,2020-04-01,2497,322.68,104,130,192,,1120,85,5,17,236,44,,,,,
Navarra,2020-04-02,2682,336.28,108,141,185,,1181,61,4,11,278,42,,,,,
Navarra,2020-04-03,2836,348.82,119,151,154,,1284,103,11,10,294,16,,,,,
Navarra,2020-04-04,2972,352.79,120,171,136,,1341,57,1,20,311,17,,,,,
Navarra,2020-04-05,3073,348.36,123,178,101,,1399,58,3,7,334,23,,,,,
Navarra,2020-04-06,3231,358.45,124,187,158,,1432,33,1,9,380,46,,,,,
Navarra,2020-04-07,3355,357.83,124,202,124,,1488,56,0,15,421,41,,,,,
Navarra,2020-04-08,3467,346.98,124,206,112,,1526,38,0,4,450,29,,,,,
Navarra,2020-04-09,3575,330.78,124,214,108,,1526,0,0,8,462,12,,,,,
Navarra,2020-04-10,3748,322.07,124,218,173,,1620,94,0,4,560,98,,,,,
Navarra,2020-04-11,3817,303.88,124,227,69,,1641,21,0,9,603,43,,,,,
Navarra,2020-04-12,3969,299.29,124,232,152,,1663,22,0,5,650,47,,,,,
Navarra,2020-04-13,4092,297.46,124,239,123,,1693,30,0,7,695,45,,,,,
Navarra,2020-04-14,4150,282.02,124,249,58,,1705,12,0,10,730,35,,,,,
Navarra,2020-04-15,4246,267.34,124,252,96,,1731,26,0,3,808,78,,,,,
Navarra,2020-04-16,4348,254.66,124,261,102,,1752,21,0,9,845,37,,,,,
Navarra,2020-04-17,4433,244.11,124,338,85,,1781,29,0,77,892,47,,,,,
Navarra,2020-04-18,4556,244.11,127,354,123,,1829,48,3,16,954,62,23,,4579,4349,207
Navarra,2020-04-19,4621,236.62,127,369,65,,1843,14,0,15,992,38,35,,4656,4413,208
Navarra,2020-04-20,4697,224.09,128,385,76,,1856,13,1,16,1123,131,38,,4735,4449,248
Navarra,2020-04-21,4781,217.97,128,397,84,,1877,21,0,12,1190,67,50,,4831,4475,306
Navarra,2020-04-22,4899,218.89,128,401,118,,1894,17,0,4,1316,126,59,,4958,4531,368
Navarra,2020-04-23,4994,216.9,129,409,95,,1907,13,1,8,1445,129,69,,5063,4577,417
Navarra,2020-04-24,4581,127.33,129,417,-413,,1915,8,0,8,1552,107,599,,5180,,
Navarra,2020-04-25,4627,123.81,129,429,46,1,1937,22,0,12,1737,185,647,104,,,
Navarra,2020-04-26,4712,113.57,129,431,85,1.8,1942,5,0,2,1835,98,,,,,
Navarra,2020-04-27,4733,97.98,130,432,21,0.4,1942,0,1,1,1918,83,,,,,
Navarra,2020-04-28,4759,93.09,130,432,26,0.5,1945,3,0,0,1978,60,,,,,
Navarra,2020-04-29,4794,115.41,130,448,35,0.7,1951,6,0,16,2082,104,,,,,
PaísVasco,2020-03-02,9,,,,,,,,,,,,,,,,
PaísVasco,2020-03-03,13,0.59,,,4,,,,,,,,,,,,
PaísVasco,2020-03-04,17,0.77,,,4,,,,,,,,,,,,
PaísVasco,2020-03-05,17,0.77,0,1,0,,,,,,,,,,,,
PaísVasco,2020-03-06,45,2.04,1,1,28,,,,1,0,,,,,,,
PaísVasco,2020-03-07,80,4,,,53.33,,,,,,,,,,,,
PaísVasco,2020-03-08,114,5,,,78.67,,,,,,,,,,,,
PaísVasco,2020-03-09,149,6.75,5,5,104,,,,4,4,,,,,,,
PaísVasco,2020-03-10,195,8.83,5,6,46,,,,0,1,,,,,,,
PaísVasco,2020-03-11,225,10.19,15,6,30,,,,10,0,,,,,,,
PaísVasco,2020-03-12,346,15.67,18,11,121,,,,3,5,,,,,,,
PaísVasco,2020-03-13,417,18.89,20,14,71,,,,2,3,,,,,,,
PaísVasco,2020-03-14,417,21.97,23,14,0,,,,,0,,,,,,,
PaísVasco,2020-03-15,630,25.05,26,23,213,,,,,9,,,,,,,
PaísVasco,2020-03-16,630,28.13,29,23,0,,,,,0,,,,,,,
PaísVasco,2020-03-17,765,34.06,33,36,135,,,,4,13,,,,,,,
PaísVasco,2020-03-18,973,43.3,37,40,208,,,,4,4,,,,,,,
PaísVasco,2020-03-19,1190,53.13,44,53,217,,,,7,13,,,,,,,
PaísVasco,2020-03-20,1465,64.32,53,71,275,,,,9,18,,,,,,,
PaísVasco,2020-03-21,1725,76.09,71,85,260,,654,,18,14,,,,,,,
PaísVasco,2020-03-22,2097,91.81,81,97,372,,988,334,10,12,,,,,,,
PaísVasco,2020-03-23,2421,102.91,92,120,324,,1252,264,11,23,283,,,,,,
PaísVasco,2020-03-24,2728,114.73,106,133,307,,1425,173,14,13,344,61,,,,,
PaísVasco,2020-03-25,3271,139.6,119,155,543,,1577,152,13,22,466,122,,,,,
PaísVasco,2020-03-26,3946,164.99,137,180,675,,1907,330,18,25,621,155,,,,,
PaísVasco,2020-03-27,4601,189.51,154,207,655,,2270,363,17,27,814,193,,,,,
PaísVasco,2020-03-28,5136,209.03,176,221,535,,2612,342,22,14,1023,209,,,,,
PaísVasco,2020-03-29,5740,231.45,271,265,604,,3106,494,95,44,1503,480,,,,,
PaísVasco,2020-03-30,6057,245.81,293,297,317,,3427,321,22,32,1646,143,,,,,
PaísVasco,2020-03-31,6320,251.61,307,325,263,,3594,167,14,28,1796,150,,,,,
PaísVasco,2020-04-01,6838,265.65,324,369,518,,3806,212,17,44,2165,369,,,,,
PaísVasco,2020-04-02,7317,277.52,344,412,479,,4087,281,20,43,2490,325,,,,,
PaísVasco,2020-04-03,7827,288.16,363,444,510,,4283,196,19,32,2809,319,,,,,
PaísVasco,2020-04-04,8187,292.69,377,477,360,,4522,239,14,33,3098,289,,,,,
PaísVasco,2020-04-05,8628,295.82,404,515,441,,4666,144,27,38,3405,307,,,,,
PaísVasco,2020-04-06,8810,289.39,410,548,182,,4794,128,6,33,3568,163,,,,,
PaísVasco,2020-04-07,9021,285.04,417,586,211,,4856,62,7,38,3728,160,,,,,
PaísVasco,2020-04-08,9452,279.96,430,635,431,,4982,126,13,49,4151,423,,,,,
PaísVasco,2020-04-09,9806,265.43,433,689,354,,5130,148,3,54,4514,363,,,,,
PaísVasco,2020-04-10,10103,249.21,442,729,297,,5290,160,9,40,4680,166,,,,,
PaísVasco,2020-04-11,10515,243.64,453,765,412,,5402,112,11,36,4741,61,,,,,
PaísVasco,2020-04-12,10772,227.92,459,804,257,,5547,145,6,39,4867,126,,,,,
PaísVasco,2020-04-13,11018,224.71,464,831,246,,5622,75,5,27,5026,159,,,,,
PaísVasco,2020-04-14,11226,222.21,470,859,208,,5679,57,6,28,5193,167,,,,,
PaísVasco,2020-04-15,11475,210.03,471,902,249,,5750,71,1,43,5428,235,,,,,
PaísVasco,2020-04-16,11790,202.6,478,956,315,,5863,113,7,54,5813,385,,,,,
PaísVasco,2020-04-17,12089,193.04,484,992,299,,5939,76,6,36,6144,331,,,,,
PaísVasco,2020-04-18,12355,193.04,490,1020,266,,6030,91,6,28,6556,412,,,12355,,
PaísVasco,2020-04-19,12569,178.51,499,1062,214,,6086,56,9,42,6972,416,,,12569,11570,999
PaísVasco,2020-04-20,12628,172.93,501,1081,59,,6109,23,2,19,7124,152,,,12628,11571,1057
PaísVasco,2020-04-21,12810,171.62,507,1103,182,,6141,32,6,22,7277,153,,,12810,11607,1203
PaísVasco,2020-04-22,13044,162.7,513,1124,234,,6201,60,6,21,7651,374,,,13044,11712,1332
PaísVasco,2020-04-23,13436,164.42,516,1167,392,,6260,59,3,43,8136,485,0,,13436,11789,1647
PaísVasco,2020-04-24,11881,80.53,518,1193,-1555,,6315,55,2,26,8459,323,1899,,13780,,
PaísVasco,2020-04-25,12366,83.84,525,1212,485,4.1,6375,60,7,19,8941,482,1766,-,,,
PaísVasco,2020-04-26,12455,76.23,533,1230,89,0.7,6426,51,8,18,9602,661,,,,,
PaísVasco,2020-04-27,12513,67.72,538,1241,58,0.5,6457,31,5,11,9840,238,,,,,
PaísVasco,2020-04-28,12564,60.6,539,1255,51,0.4,6482,25,1,14,9974,134,,,,,
PaísVasco,2020-04-29,12619,97.07,540,1274,55,0.4,6522,40,1,19,10474,500,,,,,
